GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0100000US,,United States,0100000US,,United States,United States,5.0,0.1
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,0.5,0.1
0100000US,,United States,1600000US0107000,0107000,United States - Alabama - Birmingham city,Birmingham city,2.4,0.9
0100000US,,United States,1600000US0121184,0121184,United States - Alabama - Dothan city,Dothan city,0.7,0.5
0100000US,,United States,1600000US0135896,0135896,United States - Alabama - Hoover city,Hoover city,0.0,0.4
0100000US,,United States,1600000US0137000,0137000,United States - Alabama - Huntsville city,Huntsville city,0.6,0.4
0100000US,,United States,1600000US0150000,0150000,United States - Alabama - Mobile city,Mobile city,1.1,0.5
0100000US,,United States,1600000US0151000,0151000,United States - Alabama - Montgomery city,Montgomery city,0.7,0.4
0100000US,,United States,1600000US0177256,0177256,United States - Alabama - Tuscaloosa city,Tuscaloosa city,1.1,0.8
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,1.9,0.5
0100000US,,United States,1600000US0203000,0203000,United States - Alaska - Anchorage municipality,Anchorage municipality,2.3,0.9
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,2.0,0.2
0100000US,,United States,1600000US0404720,0404720,United States - Arizona - Avondale city,Avondale city,0.0,0.7
0100000US,,United States,1600000US0410670,0410670,United States - Arizona - Casas Adobes CDP,Casas Adobes CDP,0.5,0.6
0100000US,,United States,1600000US0412000,0412000,United States - Arizona - Chandler city,Chandler city,1.1,0.6
0100000US,,United States,1600000US0423620,0423620,United States - Arizona - Flagstaff city,Flagstaff city,3.1,1.6
0100000US,,United States,1600000US0427400,0427400,United States - Arizona - Gilbert town,Gilbert town,0.4,0.3
0100000US,,United States,1600000US0427820,0427820,United States - Arizona - Glendale city,Glendale city,3.0,1.0
0100000US,,United States,1600000US0428380,0428380,United States - Arizona - Goodyear city,Goodyear city,N,N
0100000US,,United States,1600000US0446000,0446000,United States - Arizona - Mesa city,Mesa city,2.2,0.5
0100000US,,United States,1600000US0454050,0454050,United States - Arizona - Peoria city,Peoria city,0.4,0.5
0100000US,,United States,1600000US0455000,0455000,United States - Arizona - Phoenix city,Phoenix city,4.0,0.6
0100000US,,United States,1600000US0464210,0464210,United States - Arizona - San Tan Valley CDP,San Tan Valley CDP,N,N
0100000US,,United States,1600000US0465000,0465000,United States - Arizona - Scottsdale city,Scottsdale city,0.8,0.5
0100000US,,United States,1600000US0471510,0471510,United States - Arizona - Surprise city,Surprise city,0.0,0.5
0100000US,,United States,1600000US0473000,0473000,United States - Arizona - Tempe city,Tempe city,2.4,1.3
0100000US,,United States,1600000US0477000,0477000,United States - Arizona - Tucson city,Tucson city,3.6,0.8
0100000US,,United States,1600000US0485540,0485540,United States - Arizona - Yuma city,Yuma city,0.2,0.4
